"Statistic Label","CensusYear","County","UNIT","VALUE"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Clare","Number","3.81"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Cork","Number","3.93"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Cavan","Number","3.64"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Carlow","Number","4.17"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Donegal","Number","3.9"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Dublin","Number","3.94"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Galway","Number","4.13"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Kildare","Number","4.32"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Kilkenny","Number","4.06"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Kerry","Number","3.89"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Longford","Number","3.69"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Louth","Number","4.06"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Limerick","Number","4.01"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Leitrim","Number","3.38"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Laois","Number","4.06"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Meath","Number","4.11"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Monaghan","Number","3.74"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Mayo","Number","3.8"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Offaly","Number","4.08"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Roscommon","Number","3.6"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Sligo","Number","3.64"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Tipperary","Number","3.95"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Waterford","Number","3.91"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Wicklow","Number","3.95"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Westmeath","Number","3.92"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Co. Wexford","Number","4.05"
"Average Number of Persons per Private Household in Permanent Housing Units","1971","Ireland","Number","3.94"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Clare","Number","3.62"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Cork","Number","3.69"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Cavan","Number","3.52"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Carlow","Number","3.91"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Donegal","Number","3.72"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Dublin","Number","3.59"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Galway","Number","3.82"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Kildare","Number","3.93"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Kilkenny","Number","3.8"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Kerry","Number","3.63"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Longford","Number","3.54"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Louth","Number","3.77"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Limerick","Number","3.74"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Leitrim","Number","3.26"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Laois","Number","3.83"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Meath","Number","3.87"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Monaghan","Number","3.64"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Mayo","Number","3.63"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Offaly","Number","3.88"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Roscommon","Number","3.46"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Sligo","Number","3.48"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Tipperary","Number","3.7"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Waterford","Number","3.7"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Wicklow","Number","3.71"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Westmeath","Number","3.71"
"Average Number of Persons per Private Household in Permanent Housing Units","1981","Co. Wexford","Number","3.85"
