Year,Region,Estimated Population nr,Nr of Persons with Internet Access,% of Persons with Internet Access
2011,Border,784000.0,517440.0,66.0
2011,Dublin,2523000.0,2119320.0,84.0
2011,Ireland,9149700.0,7136766.0,78.0
2011,Mid-East,1314900.0,1143963.0,87.0
2011,Mid-West,933600.0,718872.0000000001,77.00000000000001
2011,Midlands,567600.0,448404.00000000006,79.00000000000001
2011,South-East,820600.0,582626.0,71.0
2011,South-West,1324600.0,1006696.0,76.0
2011,West,881600.0,696463.9999999999,78.99999999999999
2012,Border,784200.0,588150.0,75.0
2012,Dublin,2521300.0,2168317.9999999995,85.99999999999997
2012,Ireland,9187300.0,7441713.0,81.0
2012,Mid-East,1329300.0,1156491.0,87.0
2012,Mid-West,941300.0,743627.0,79.0
2012,Midlands,574100.0,424834.00000000006,74.00000000000001
2012,South-East,823200.0,650328.0,79.0
2012,South-West,1334700.0,1041066.0,78.0
2012,West,878700.0,720534.0000000001,82.00000000000001
2013,Border,786200.0,589650.0,75.0
2013,Dublin,2531700.0,2202579.0,87.0
2013,Ireland,9229300.0,7568025.999999999,82.0
2013,Mid-East,1332900.0,1146294.0000000002,86.00000000000001
2013,Mid-West,941600.0,753280.0,80.0
2013,Midlands,578600.0,474451.99999999994,82.0
2013,South-East,827600.0,670356.0,81.0
2013,South-West,1347800.0,1091718.0,81.0
2013,West,883400.0,715554.0,81.0
2014,Border,784100.0,588075.0,75.0
2014,Dublin,2572800.0,2264064.0000000005,88.00000000000003
2014,Ireland,9291000.0,7618619.999999998,81.99999999999999
2014,Mid-East,1342800.0,1154808.0,86.0
2014,Mid-West,943600.0,754880.0000000001,80.00000000000001
2014,Midlands,579600.0,463679.99999999994,80.0
2014,South-East,826900.0,653251.0,79.0
2014,South-West,1358900.0,1087120.0,80.0
2014,West,882300.0,688194.0,78.0
2015,Border,783800.0,650554.0,83.0
2015,Dublin,2630600.0,2367540.0,90.0
2015,Ireland,9375600.0,7969260.0,85.0
2015,Mid-East,1358600.0,1181982.0000000002,87.00000000000003
2015,Mid-West,946700.0,814162.0,86.0
2015,Midlands,582300.0,489132.0,84.0
2015,South-East,831200.0,664959.9999999999,79.99999999999999
2015,South-West,1357800.0,1113396.0,82.0
2015,West,884500.0,698755.0000000001,79.00000000000001
2016,Border,786700.0,645094.0,82.0
2016,Dublin,2671900.0,2431429.0000000005,91.00000000000001
2016,Ireland,9479400.0,8247078.0,87.0
2016,Mid-East,1381900.0,1229890.9999999998,88.99999999999999
2016,Mid-West,945200.0,822324.0,87.0
2016,Midlands,586800.0,498779.99999999994,84.99999999999999
2016,South-East,842200.0,715870.0,85.0
2016,South-West,1369900.0,1178114.0,86.0
2016,West,895100.0,751884.0000000001,84.00000000000001
2017,Border,800400.0,670335.0000000001,83.75000000000001
2017,Dublin,2702900.0,2486668.0,92.0
2017,Ireland,9621800.0,8491238.499999998,88.24999999999999
2017,Mid-East,1411900.0,1274239.75,90.25
2017,Mid-West,960400.0,840349.9999999999,87.49999999999999
2017,Midlands,598400.0,517616.0,86.5
2017,South-East,853000.0,733580.0000000001,86.00000000000001
2017,South-West,1388100.0,1211117.25,87.25
2017,West,906500.0,775057.5,85.5
2018,Border,811500.0,693832.5,85.5
2018,Dublin,2746200.0,2553966.0,93.0
2018,Ireland,9769800.0,8743971.0,89.5
2018,Mid-East,1438600.0,1316319.0,91.5
2018,Mid-West,977800.0,860464.0,88.0
2018,Midlands,609500.0,536360.0,88.0
2018,South-East,863000.0,750809.9999999999,86.99999999999999
2018,South-West,1405900.0,1244221.4999999998,88.49999999999997
2018,West,917500.0,798225.0,87.0
2019,Border,820200.0,715624.5,87.25
2019,Dublin,2797800.0,2629932.0,94.0
2019,Ireland,9917000.0,8999677.5,90.75
2019,Mid-East,1463800.0,1357674.5,92.75
2019,Mid-West,986800.0,873318.0000000001,88.50000000000001
2019,Midlands,618000.0,553110.0,89.5
2019,South-East,880300.0,774663.9999999999,87.99999999999999
2019,South-West,1421100.0,1275437.25,89.75
2019,West,929400.0,822519.0,88.5
2020,Border,824200.0,733537.9999999999,88.99999999999999
2020,Dublin,2844900.0,2702655.0,95.0
2020,Ireland,10059700.0,9254924.0,92.0
2020,Mid-East,1494700.0,1405018.0,94.0
2020,Mid-West,995800.0,886262.0,89.0
2020,Midlands,619800.0,564018.0,91.0
2020,South-East,890000.0,792100.0,89.0
2020,South-West,1446500.0,1316315.0,91.0
2020,West,944400.0,849959.9999999999,89.99999999999999
2021,Border,834100.0,742349.0000000001,89.00000000000001
2021,Dublin,2869400.0,2754624.0,96.0
2021,Ireland,10149400.0,9438942.0,93.0
2021,Mid-East,1510500.0,1419870.0,94.0
2021,Mid-West,999200.0,889288.0,89.0
2021,Midlands,628200.0,584225.9999999999,92.99999999999999
2021,South-East,902300.0,821093.0,91.0
2021,South-West,1454700.0,1323777.0,91.0
2021,West,951000.0,855900.0,90.0
2022,Border,844500.0,760050.0,90.0
2022,Dublin,2936600.0,2848502.0000000005,97.00000000000001
2022,Ireland,10367900.0,9745826.0,94.0
2022,Mid-East,1547800.0,1470410.0000000002,95.00000000000001
2022,Mid-West,1017500.0,936099.9999999999,92.0
2022,Midlands,640600.0,595758.0,93.0
2022,South-East,921400.0,856902.0000000001,93.00000000000001
2022,South-West,1486000.0,1381979.9999999998,92.99999999999999
2022,West,973200.0,885611.9999999999,90.99999999999999
