Statistic Label,CensusYear,Name of Region,UNIT,VALUE
Private households,2011,Ireland,Number,1654208.0
Private households,2011,South-East,Number,19436.0
Private households,2011,Dublin,Number,208008.0
Private households,2011,Dublin,Number,75819.0
Private households,2011,Dublin,Number,93146.0
Private households,2011,Dublin,Number,90019.0
Private households,2011,Mid-East,Number,70763.0
Private households,2011,South-East,Number,33679.0
Private households,2011,Midlands,Number,28020.0
Private households,2011,Midlands,Number,14453.0
Private households,2011,Border,Number,43972.0
Private households,2011,Mid-East,Number,62201.0
Private households,2011,Midlands,Number,26750.0
Private households,2011,Midlands,Number,30739.0
Private households,2011,South-East,Number,52652.0
Private households,2011,Mid-East,Number,47798.0
Private households,2011,Mid-West,Number,42648.0
Private households,2011,South-West,Number,188019.0
Private households,2011,South-West,Number,53306.0
Private households,2011,Mid-West,Number,69649.0
Private households,2011,Mid-West,Number,58497.0
Private households,2011,South-East,Number,42335.0
Private households,2011,West,Number,27726.0
Private households,2011,West,Number,60952.0
Private households,2011,Border,Number,12308.0
Private households,2011,West,Number,48070.0
Private households,2011,West,Number,23672.0
Private households,2011,Border,Number,24525.0
Private households,2011,Border,Number,25818.0
Private households,2011,Border,Number,57964.0
Private households,2011,Border,Number,21264.0
Private households,2016,Ireland,Number,1702289.0
Private households,2016,South-East,Number,20537.0
Private households,2016,Dublin,Number,211747.0
Private households,2016,Dublin,Number,78601.0
Private households,2016,Dublin,Number,96812.0
Private households,2016,Dublin,Number,92523.0
Private households,2016,Mid-East,Number,73596.0
Private households,2016,South-East,Number,34855.0
Private households,2016,Midlands,Number,29107.0
Private households,2016,Midlands,Number,15122.0
Private households,2016,Border,Number,45448.0
Private households,2016,Mid-East,Number,64234.0
Private households,2016,Midlands,Number,27343.0
Private households,2016,Midlands,Number,31813.0
Private households,2016,South-East,Number,54289.0
Private households,2016,Mid-East,Number,49211.0
Private households,2016,Mid-West,Number,43469.0
Private households,2016,South-West,Number,195853.0
Private households,2016,South-West,Number,54493.0
Private households,2016,Mid-West,Number,71224.0
Private households,2016,Mid-West,Number,59276.0
Private households,2016,South-East,Number,43549.0
Private households,2016,West,Number,28859.0
Private households,2016,West,Number,63040.0
Private households,2016,Border,Number,12452.0
Private households,2016,West,Number,48899.0
Private households,2016,West,Number,24013.0
Private households,2016,Border,Number,24831.0
Private households,2016,Border,Number,26899.0
Private households,2016,Border,Number,58505.0
Private households,2016,Border,Number,21689.0
Private households,2022,Ireland,Number,1841152.0
Private households,2022,South-East,Number,22238.0
Private households,2022,Dublin,Number,225685.0
Private households,2022,Dublin,Number,85128.0
Private households,2022,Dublin,Number,107846.0
Private households,2022,Dublin,Number,100364.0
Private households,2022,Mid-East,Number,82793.0
Private households,2022,South-East,Number,36787.0
Private households,2022,Midlands,Number,31232.0
Private households,2022,Midlands,Number,16229.0
Private households,2022,Border,Number,49424.0
Private households,2022,Mid-East,Number,72977.0
Private households,2022,Midlands,Number,28923.0
Private households,2022,Midlands,Number,34087.0
Private households,2022,South-East,Number,59389.0
Private households,2022,Mid-East,Number,54211.0
Private households,2022,Mid-West,Number,46553.0
Private households,2022,South-West,Number,211362.0
Private households,2022,South-West,Number,58317.0
Private households,2022,Mid-West,Number,76472.0
Private households,2022,Mid-West,Number,62232.0
Private households,2022,South-East,Number,47778.0
Private households,2022,West,Number,30901.0
Private households,2022,West,Number,68021.0
Private households,2022,Border,Number,13630.0
Private households,2022,West,Number,52114.0
Private households,2022,West,Number,26021.0
Private households,2022,Border,Number,26855.0
Private households,2022,Border,Number,28845.0
Private households,2022,Border,Number,61780.0
Private households,2022,Border,Number,22958.0
Persons in private households,2011,Ireland,Number,4510409.0
Persons in private households,2011,South-East,Number,54187.0
Persons in private households,2011,Dublin,Number,499659.0
Persons in private households,2011,Dublin,Number,202594.0
Persons in private households,2011,Dublin,Number,271958.0
Persons in private households,2011,Dublin,Number,263723.0
Persons in private households,2011,Mid-East,Number,208522.0
Persons in private households,2011,South-East,Number,94342.0
Persons in private households,2011,Midlands,Number,79751.0
Persons in private households,2011,Midlands,Number,38986.0
Persons in private households,2011,Border,Number,122339.0
Persons in private households,2011,Mid-East,Number,184336.0
Persons in private households,2011,Midlands,Number,76274.0
Persons in private households,2011,Midlands,Number,84869.0
Persons in private households,2011,South-East,Number,144349.0
Persons in private households,2011,Mid-East,Number,135259.0
Persons in private households,2011,Mid-West,Number,115587.0
Persons in private households,2011,South-West,Number,512300.0
Persons in private households,2011,South-West,Number,140975.0
Persons in private households,2011,Mid-West,Number,187560.0
Persons in private households,2011,Mid-West,Number,158089.0
Persons in private households,2011,South-East,Number,112261.0
Persons in private households,2011,West,Number,70918.0
Persons in private households,2011,West,Number,172308.0
Persons in private households,2011,Border,Number,31556.0
Persons in private households,2011,West,Number,128492.0
Persons in private households,2011,West,Number,63311.0
Persons in private households,2011,Border,Number,63667.0
Persons in private households,2011,Border,Number,72625.0
Persons in private households,2011,Border,Number,159139.0
Persons in private households,2011,Border,Number,60473.0
Persons in private households,2016,Ireland,Number,4676648.0
Persons in private households,2016,South-East,Number,56609.0
Persons in private households,2016,Dublin,Number,525229.0
Persons in private households,2016,Dublin,Number,213468.0
Persons in private households,2016,Dublin,Number,292989.0
Persons in private households,2016,Dublin,Number,277168.0
Persons in private households,2016,Mid-East,Number,220923.0
Persons in private households,2016,South-East,Number,97536.0
Persons in private households,2016,Midlands,Number,83534.0
Persons in private households,2016,Midlands,Number,40775.0
Persons in private households,2016,Border,Number,127751.0
Persons in private households,2016,Mid-East,Number,194400.0
Persons in private households,2016,Midlands,Number,77755.0
Persons in private households,2016,Midlands,Number,87887.0
Persons in private households,2016,South-East,Number,148331.0
Persons in private households,2016,Mid-East,Number,140978.0
Persons in private households,2016,Mid-West,Number,116920.0
Persons in private households,2016,South-West,Number,535042.0
Persons in private households,2016,South-West,Number,141596.0
Persons in private households,2016,Mid-West,Number,192184.0
Persons in private households,2016,Mid-West,Number,158933.0
Persons in private households,2016,South-East,Number,114402.0
Persons in private households,2016,West,Number,74376.0
Persons in private households,2016,West,Number,177145.0
Persons in private households,2016,Border,Number,31721.0
Persons in private households,2016,West,Number,127767.0
Persons in private households,2016,West,Number,63684.0
Persons in private households,2016,Border,Number,63656.0
Persons in private households,2016,Border,Number,75285.0
Persons in private households,2016,Border,Number,157276.0
Persons in private households,2016,Border,Number,61328.0
Persons in private households,2022,Ireland,Number,5046681.0
Persons in private households,2022,South-East,Number,61546.0
Persons in private households,2022,Dublin,Number,560493.0
Persons in private households,2022,Dublin,Number,230782.0
Persons in private households,2022,Dublin,Number,325642.0
Persons in private households,2022,Dublin,Number,298125.0
Persons in private households,2022,Mid-East,Number,246285.0
Persons in private households,2022,South-East,Number,102286.0
Persons in private households,2022,Midlands,Number,90499.0
Persons in private households,2022,Midlands,Number,43920.0
Persons in private households,2022,Border,Number,138449.0
Persons in private households,2022,Mid-East,Number,220042.0
Persons in private households,2022,Midlands,Number,82142.0
Persons in private households,2022,Midlands,Number,94663.0
Persons in private households,2022,South-East,Number,161526.0
Persons in private households,2022,Mid-East,Number,153794.0
Persons in private households,2022,Mid-West,Number,124129.0
Persons in private households,2022,South-West,Number,575441.0
Persons in private households,2022,South-West,Number,150149.0
Persons in private households,2022,Mid-West,Number,206192.0
Persons in private households,2022,Mid-West,Number,166458.0
Persons in private households,2022,South-East,Number,125355.0
Persons in private households,2022,West,Number,80918.0
Persons in private households,2022,West,Number,190961.0
Persons in private households,2022,Border,Number,34808.0
Persons in private households,2022,West,Number,135129.0
Persons in private households,2022,West,Number,69079.0
Persons in private households,2022,Border,Number,68189.0
Persons in private households,2022,Border,Number,80749.0
Persons in private households,2022,Border,Number,164501.0
Persons in private households,2022,Border,Number,64429.0
