Region,Year,Statistic Label,UNIT,VALUE
State,2007,Households with Computer,%,65
State,2007,Households with Computer Unweighted Sample,Number,4361
State,2007,Households with Computer connected to the Internet,%,57
State,2007,Households with Computer connected to the Internet Unweighted Sample,Number,4361
State,2008,Households with Computer,%,70
State,2008,Households with Computer Unweighted Sample,Number,9003
State,2008,Households with Computer connected to the Internet,%,63
State,2008,Households with Computer connected to the Internet Unweighted Sample,Number,9003
State,2009,Households with Computer,%,73
State,2009,Households with Computer Unweighted Sample,Number,8287
State,2009,Households with Computer connected to the Internet,%,67
State,2009,Households with Computer connected to the Internet Unweighted Sample,Number,8287
State,2010,Households with Computer,%,76
State,2010,Households with Computer Unweighted Sample,Number,7826
State,2010,Households with Computer connected to the Internet,%,72
State,2010,Households with Computer connected to the Internet Unweighted Sample,Number,7826
State,2011,Households with Computer,%,81
State,2011,Households with Computer Unweighted Sample,Number,6365
State,2011,Households with Computer connected to the Internet,%,78
State,2011,Households with Computer connected to the Internet Unweighted Sample,Number,6365
State,2012,Households with Computer,%,83
State,2012,Households with Computer Unweighted Sample,Number,8221
State,2012,Households with Computer connected to the Internet,%,81
State,2012,Households with Computer connected to the Internet Unweighted Sample,Number,8051
State,2013,Households with Computer,%,84
State,2013,Households with Computer Unweighted Sample,Number,10283
State,2013,Households with Computer connected to the Internet,%,82
State,2013,Households with Computer connected to the Internet Unweighted Sample,Number,10283
State,2014,Households with Computer,%,
State,2014,Households with Computer Unweighted Sample,Number,
State,2014,Households with Computer connected to the Internet,%,82
State,2014,Households with Computer connected to the Internet Unweighted Sample,Number,9629
State,2015,Households with Computer,%,
State,2015,Households with Computer Unweighted Sample,Number,
State,2015,Households with Computer connected to the Internet,%,85
State,2015,Households with Computer connected to the Internet Unweighted Sample,Number,9150
State,2016,Households with Computer,%,
State,2016,Households with Computer Unweighted Sample,Number,
State,2016,Households with Computer connected to the Internet,%,87
State,2016,Households with Computer connected to the Internet Unweighted Sample,Number,8261
Border,2007,Households with Computer,%,51
Border,2007,Households with Computer Unweighted Sample,Number,489
Border,2007,Households with Computer connected to the Internet,%,43
