"Statistic Label","Age Group","Sex","Regional Authority Area","Year","UNIT","VALUE"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","1996","Thousand","250.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","1997","Thousand","250"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","1998","Thousand","253.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","1999","Thousand","259.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2000","Thousand","266.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2001","Thousand","273.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2002","Thousand","277.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2003","Thousand","284.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2004","Thousand","290.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2005","Thousand","296.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2006","Thousand","302.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2007","Thousand","310.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2008","Thousand","324"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2009","Thousand","335.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2010","Thousand","347"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2011","Thousand","356"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2012","Thousand","358.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2013","Thousand","353"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2014","Thousand","345.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2015","Thousand","337.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2016","Thousand","331.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","State","2017","Thousand","324.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","1996","Thousand","28.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","1997","Thousand","27.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","1998","Thousand","27"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","1999","Thousand","27.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2000","Thousand","29"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2001","Thousand","29.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2002","Thousand","32.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2003","Thousand","32.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2004","Thousand","32.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2005","Thousand","33.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2006","Thousand","34.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2007","Thousand","35.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2008","Thousand","36.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2009","Thousand","38.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2010","Thousand","40.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2011","Thousand","41.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2012","Thousand","40.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2013","Thousand","40.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2014","Thousand","39.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2015","Thousand","38.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2016","Thousand","37"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Border","2017","Thousand","36.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","1996","Thousand","14.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","1997","Thousand","14.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","1998","Thousand","14.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","1999","Thousand","15.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2000","Thousand","15.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2001","Thousand","16.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2002","Thousand","17.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2003","Thousand","18"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2004","Thousand","18.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2005","Thousand","18.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2006","Thousand","19.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2007","Thousand","20.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2008","Thousand","21.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2009","Thousand","21.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2010","Thousand","23"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2011","Thousand","23.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2012","Thousand","24.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2013","Thousand","23.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2014","Thousand","23.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2015","Thousand","22.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2016","Thousand","21.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Midland","2017","Thousand","22.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","1996","Thousand","23.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","1997","Thousand","22.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","1998","Thousand","22.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","1999","Thousand","23.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2000","Thousand","24.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2001","Thousand","24.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2002","Thousand","25.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2003","Thousand","26.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2004","Thousand","26.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2005","Thousand","27.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2006","Thousand","28.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2007","Thousand","28.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2008","Thousand","30"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2009","Thousand","31"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2010","Thousand","31.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2011","Thousand","32.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2012","Thousand","32.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2013","Thousand","32.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2014","Thousand","31.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2015","Thousand","31.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2016","Thousand","30.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","West","2017","Thousand","29.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","1996","Thousand","72.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","1997","Thousand","73"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","1998","Thousand","74.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","1999","Thousand","75.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2000","Thousand","76.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2001","Thousand","76"
