Year,Region,Estimated Population nr
1996,Midlands,411000.0
1996,Ireland,7252000.0
1996,South-West,1093400.0
1996,South-East,783000.0
1996,West,704900.0
1996,Mid-East,694800.0
1996,Dublin,2116500.0
1996,Border,814500.0
1996,Mid-West,634200.0
1997,West,708000.0
1997,Border,816500.0
1997,Mid-East,722400.0
1997,Mid-West,635800.0
1997,Dublin,2144400.0
1997,South-East,786700.0
1997,South-West,1098100.0
1997,Ireland,7328300.0
1997,Midlands,417000.0
1998,Border,821000.0
1998,West,711700.0
1998,South-East,797599.9999999999
1998,Mid-West,644100.0
1998,Mid-East,739400.0
1998,Dublin,2162800.0
1998,Midlands,421800.0
1998,South-West,1107500.0
1998,Ireland,7406000.0
1999,Mid-West,652200.0
1999,Dublin,2172000.0
1999,West,713600.0
1999,Border,829800.0
1999,South-East,809300.0
1999,South-West,1120600.0
1999,Ireland,7483200.0
1999,Midlands,427500.0
1999,Mid-East,758400.0
2000,Mid-West,660400.0000000001
2000,West,725600.0
2000,Ireland,7579200.0
2000,South-West,1130000.0
2000,South-East,817500.0
2000,Mid-East,777599.9999999999
2000,Dublin,2194700.0
2000,Border,841000.0
2000,Midlands,433000.0
2001,Mid-West,670800.0
2001,South-West,1144400.0
2001,West,737200.0
2001,Ireland,7694200.0
2001,South-East,832700.0
2001,Dublin,2216400.0
2001,Mid-East,802500.0
2001,Midlands,440900.0
2001,Border,850000.0
2002,Border,865000.0
2002,Dublin,2245399.9999999995
2002,Mid-East,825400.0000000001
2002,Mid-West,679000.0
2002,Midlands,450700.00000000006
2002,South-East,847100.0
2002,South-West,1160800.0
2002,Ireland,7834400.0
2002,West,760500.0
2003,Ireland,7960000.0
2003,South-West,1176800.0
2003,South-East,860900.0
2003,Midlands,460800.0
2003,West,778400.0000000001
2003,Mid-East,853000.0
2003,Dublin,2266400.0
2003,Border,878900.0000000001
2003,Mid-West,684800.0
2004,South-West,1192900.0
2004,South-East,875800.0
2004,Midlands,472900.0
2004,West,788300.0
2004,Mid-East,880200.0
2004,Dublin,2289700.0
2004,Border,899600.0
2004,Mid-West,691300.0
2004,Ireland,8090400.0
2005,Dublin,2321300.0
2005,Mid-West,706300.0
2005,Border,915099.9999999999
2005,Midlands,483500.0
2005,Mid-East,913800.0
2005,South-West,1218500.0
2005,Ireland,8267600.0
2005,West,811200.0
2005,South-East,898000.0
2006,Mid-West,716800.0
2006,South-East,923000.0
2006,Ireland,8465800.0
2006,South-West,1237400.0
2006,Midlands,504200.0
2006,West,821400.0
2006,Mid-East,956900.0
2006,Border,939700.0
2006,Dublin,2366800.0
2007,Ireland,8751700.0
2007,Dublin,2462500.0
2007,South-West,1275300.0000000002
2007,South-East,950500.0
2007,West,846400.0
2007,Mid-West,733000.0
2007,Mid-East,992100.0
2007,Midlands,524600.0
2007,Border,967700.0
2008,Midlands,541800.0
2008,Border,993000.0
2008,Mid-East,1026699.9999999998
2008,South-West,1310300.0000000002
2008,Dublin,2505400.0
2008,South-East,979300.0
2008,Ireland,8970300.0
2008,Mid-West,751300.0
2008,West,862200.0
2009,Border,1016400.0
2009,Dublin,2517100.0
2009,Mid-East,1041500.0
2009,Mid-West,753800.0
2009,West,876100.0
2009,South-West,1320800.0
2009,Ireland,9066800.0
2009,Midlands,550700.0
2009,South-East,990900.0000000001
2010,Border,1023100.0
2010,Dublin,2519200.0
2010,Mid-East,1056800.0
2010,Mid-West,757200.0
2010,South-East,996000.0
2010,South-West,1321699.9999999998
2010,Ireland,9109400.000000002
2010,West,876700.0
2010,Midlands,558900.0
2011,West,881600.0
2011,Ireland,9149700.0
2011,South-West,1324600.0
2011,South-East,998600.0
2011,Midlands,567600.0
2011,Mid-East,1067800.0
2011,Dublin,2523000.0
2011,Border,1031099.9999999999
2011,Mid-West,755500.0
2011,Border,784000.0
2011,Mid-West,933600.0
2011,West,881600.0
2011,South-West,1324600.0
2011,South-East,820600.0
2011,Midlands,567600.0
2011,Dublin,2523000.0
2011,Mid-East,1314900.0
2011,Ireland,9149700.0
2012,Dublin,2521300.0
2012,Mid-West,763200.0
2012,Mid-East,1082000.0
2012,South-East,1001400.0
2012,South-West,1334699.9999999998
2012,Ireland,9179000.0
2012,South-East,823200.0
2012,West,878700.0
2012,West,878700.0
2012,South-West,1334700.0
2012,Midlands,574100.0
2012,Mid-East,1329300.0
2012,Border,784200.0
2012,Dublin,2521300.0
2012,Ireland,9187300.0
2012,Border,1031400.0000000001
2012,Midlands,574099.9999999999
2012,Mid-West,941300.0
2013,West,883400.0
2013,Mid-East,1332900.0
2013,Ireland,9229300.0
2013,South-West,1347800.0
2013,South-East,1005900.0000000001
2013,Midlands,578600.0
2013,Mid-East,1084400.0
2013,Dublin,2531700.0
2013,Mid-West,762900.0
2013,Border,1034599.9999999999
2013,Dublin,2531700.0
2013,Ireland,9229300.0
2013,Mid-West,941600.0
2013,Midlands,578600.0
2013,South-East,827600.0
2013,South-West,1347800.0
2013,West,883400.0
2013,Border,786200.0
2014,Dublin,2572800.0
2014,Ireland,9291000.0
2014,Midlands,579600.0
2014,Mid-West,765200.0
2014,West,882300.0
2014,South-East,826900.0
2014,Mid-West,943600.0
2014,South-West,1358900.0
2014,Border,784100.0
2014,Mid-East,1342800.0
2014,West,882300.0
2014,Border,1032800.0
2014,Dublin,2572800.0
2014,Mid-East,1094100.0
2014,Midlands,579600.0
2014,South-East,1005600.0
2014,South-West,1358900.0
2014,Ireland,9291000.0
2015,Border,783800.0
2015,Dublin,2630600.0
2015,Ireland,9375600.0
2015,South-East,831200.0
2015,Mid-West,946700.0
2015,Midlands,582300.0
2015,Mid-East,1358600.0
2015,West,884500.0
2015,Midlands,582300.0
2015,Mid-East,1107400.0
