"Statistic Label","Census Year","Internet","County","UNIT","VALUE"
"Households with Internet access","2011","Broadband","Carlow County","Number","11158"
"Households with Internet access","2011","Broadband","Dublin City","Number","137669"
"Households with Internet access","2011","Broadband","South Dublin","Number","68306"
"Households with Internet access","2011","Broadband","Fingal","Number","73868"
"Households with Internet access","2011","Broadband","Dún Laoghaire-Rathdown","Number","59750"
"Households with Internet access","2011","Broadband","Kildare County","Number","50093"
"Households with Internet access","2011","Broadband","Kilkenny County","Number","19816"
"Households with Internet access","2011","Broadband","Laois County","Number","16003"
"Households with Internet access","2011","Broadband","Longford County","Number","7393"
"Households with Internet access","2011","Broadband","Louth County","Number","27689"
"Households with Internet access","2011","Broadband","Meath County","Number","41626"
"Households with Internet access","2011","Broadband","Offaly County","Number","14171"
"Households with Internet access","2011","Broadband","Westmeath County","Number","17535"
"Households with Internet access","2011","Broadband","Wexford County","Number","29576"
"Households with Internet access","2011","Broadband","Wicklow County","Number","32705"
"Households with Internet access","2011","Broadband","Clare County","Number","25041"
"Households with Internet access","2011","Broadband","Cork City","Number","28724"
"Households with Internet access","2011","Broadband","Cork County","Number","90886"
"Households with Internet access","2011","Broadband","Kerry County","Number","28984"
"Households with Internet access","2011","Broadband","Limerick City","Number","13175"
"Households with Internet access","2011","Broadband","Limerick County","Number","28047"
"Households with Internet access","2011","Broadband","North Tipperary","Number","13454"
"Households with Internet access","2011","Broadband","South Tipperary","Number","17238"
"Households with Internet access","2011","Broadband","Waterford City","Number","12081"
"Households with Internet access","2011","Broadband","Waterford County","Number","14437"
"Households with Internet access","2011","Broadband","Galway City","Number","20174"
"Households with Internet access","2011","Broadband","Galway County","Number","34901"
"Households with Internet access","2011","Broadband","Leitrim County","Number","6298"
"Households with Internet access","2011","Broadband","Mayo County","Number","26349"
"Households with Internet access","2011","Broadband","Roscommon County","Number","12599"
"Households with Internet access","2011","Broadband","Sligo County","Number","14298"
"Households with Internet access","2011","Broadband","Cavan County","Number","14250"
"Households with Internet access","2011","Broadband","Donegal County","Number","32293"
"Households with Internet access","2011","Broadband","Monaghan County","Number","11355"
"Households with Internet access","2011","Other","Carlow County","Number","2106"
"Households with Internet access","2011","Other","Dublin City","Number","11763"
"Households with Internet access","2011","Other","South Dublin","Number","4186"
"Households with Internet access","2011","Other","Fingal","Number","4820"
"Households with Internet access","2011","Other","Dún Laoghaire-Rathdown","Number","3313"
"Households with Internet access","2011","Other","Kildare County","Number","5562"
"Households with Internet access","2011","Other","Kilkenny County","Number","3722"
"Households with Internet access","2011","Other","Laois County","Number","3403"
"Households with Internet access","2011","Other","Longford County","Number","1554"
"Households with Internet access","2011","Other","Louth County","Number","3263"
"Households with Internet access","2011","Other","Meath County","Number","5805"
"Households with Internet access","2011","Other","Offaly County","Number","3175"
"Households with Internet access","2011","Other","Westmeath County","Number","3470"
"Households with Internet access","2011","Other","Wexford County","Number","5839"
"Households with Internet access","2011","Other","Wicklow County","Number","3619"
"Households with Internet access","2011","Other","Clare County","Number","4149"
"Households with Internet access","2011","Other","Cork City","Number","2606"
"Households with Internet access","2011","Other","Cork County","Number","11576"
"Households with Internet access","2011","Other","Kerry County","Number","5457"
"Households with Internet access","2011","Other","Limerick City","Number","1450"
"Households with Internet access","2011","Other","Limerick County","Number","4644"
"Households with Internet access","2011","Other","North Tipperary","Number","3182"
"Households with Internet access","2011","Other","South Tipperary","Number","3549"
"Households with Internet access","2011","Other","Waterford City","Number","847"
"Households with Internet access","2011","Other","Waterford County","Number","2364"
"Households with Internet access","2011","Other","Galway City","Number","1600"
"Households with Internet access","2011","Other","Galway County","Number","6411"
"Households with Internet access","2011","Other","Leitrim County","Number","1231"
"Households with Internet access","2011","Other","Mayo County","Number","4504"
"Households with Internet access","2011","Other","Roscommon County","Number","2494"
"Households with Internet access","2011","Other","Sligo County","Number","1978"
"Households with Internet access","2011","Other","Cavan County","Number","2445"
"Households with Internet access","2011","Other","Donegal County","Number","4670"
"Households with Internet access","2011","Other","Monaghan County","Number","2216"
"Households with Internet access","2011","No","Carlow County","Number","5612"
"Households with Internet access","2011","No","Dublin City","Number","51454"
"Households with Internet access","2011","No","South Dublin","Number","15455"
"Households with Internet access","2011","No","Fingal","Number","12242"
"Households with Internet access","2011","No","Dún Laoghaire-Rathdown","Number","11276"
"Households with Internet access","2011","No","Kildare County","Number","13480"
"Households with Internet access","2011","No","Kilkenny County","Number","9342"
"Households with Internet access","2011","No","Laois County","Number","7863"
"Households with Internet access","2011","No","Longford County","Number","5090"
"Households with Internet access","2011","No","Louth County","Number","11915"
"Households with Internet access","2011","No","Meath County","Number","13263"
"Households with Internet access","2011","No","Offaly County","Number","8598"
"Households with Internet access","2011","No","Westmeath County","Number","8895"
"Households with Internet access","2011","No","Wexford County","Number","15961"
"Households with Internet access","2011","No","Wicklow County","Number","10272"
"Households with Internet access","2011","No","Clare County","Number","12313"
"Households with Internet access","2011","No","Cork City","Number","14327"
"Households with Internet access","2011","No","Cork County","Number","35197"
"Households with Internet access","2011","No","Kerry County","Number","17401"
"Households with Internet access","2011","No","Limerick City","Number","7016"
"Households with Internet access","2011","No","Limerick County","Number","13474"
"Households with Internet access","2011","No","North Tipperary","Number","8333"
"Households with Internet access","2011","No","South Tipperary","Number","11130"
"Households with Internet access","2011","No","Waterford City","Number","4732"
"Households with Internet access","2011","No","Waterford County","Number","6780"
"Households with Internet access","2011","No","Galway City","Number","5248"
"Households with Internet access","2011","No","Galway County","Number","18175"
"Households with Internet access","2011","No","Leitrim County","Number","4392"
"Households with Internet access","2011","No","Mayo County","Number","16055"
"Households with Internet access","2011","No","Roscommon County","Number","8016"
"Households with Internet access","2011","No","Sligo County","Number","7461"
"Households with Internet access","2011","No","Cavan County","Number","8426"
"Households with Internet access","2011","No","Donegal County","Number","19662"
"Households with Internet access","2011","No","Monaghan County","Number","7240"
"Households with Internet access","2011","Not Stated","Carlow County","Number","489"
"Households with Internet access","2011","Not Stated","Dublin City","Number","6961"
"Households with Internet access","2011","Not Stated","South Dublin","Number","1930"
"Households with Internet access","2011","Not Stated","Fingal","Number","2021"
"Households with Internet access","2011","Not Stated","Dún Laoghaire-Rathdown","Number","1447"
"Households with Internet access","2011","Not Stated","Kildare County","Number","1369"
"Households with Internet access","2011","Not Stated","Kilkenny County","Number","703"
"Households with Internet access","2011","Not Stated","Laois County","Number","647"
"Households with Internet access","2011","Not Stated","Longford County","Number","373"
"Households with Internet access","2011","Not Stated","Louth County","Number","1030"
"Households with Internet access","2011","Not Stated","Meath County","Number","1228"
"Households with Internet access","2011","Not Stated","Offaly County","Number","599"
"Households with Internet access","2011","Not Stated","Westmeath County","Number","724"
"Households with Internet access","2011","Not Stated","Wexford County","Number","969"
"Households with Internet access","2011","Not Stated","Wicklow County","Number","983"
"Households with Internet access","2011","Not Stated","Clare County","Number","1031"
"Households with Internet access","2011","Not Stated","Cork City","Number","1453"
"Households with Internet access","2011","Not Stated","Cork County","Number","2786"
"Households with Internet access","2011","Not Stated","Kerry County","Number","1246"
"Households with Internet access","2011","Not Stated","Limerick City","Number","659"
"Households with Internet access","2011","Not Stated","Limerick County","Number","956"
