"Statistic Label","Census Year","County","Internet","UNIT","VALUE"
"Households with Internet access","2016","Carlow","Broadband","Number","13539"
"Households with Internet access","2016","Carlow","Other","Number","1852"
"Households with Internet access","2016","Carlow","No","Number","4432"
"Households with Internet access","2016","Carlow","Not Stated","Number","642"
"Households with Internet access","2016","Carlow","Total","Number","20465"
"Households with Internet access","2016","Cavan","Broadband","Number","17061"
"Households with Internet access","2016","Cavan","Other","Number","2698"
"Households with Internet access","2016","Cavan","No","Number","6318"
"Households with Internet access","2016","Cavan","Not Stated","Number","729"
"Households with Internet access","2016","Cavan","Total","Number","26806"
"Households with Internet access","2016","Clare","Broadband","Number","27941"
"Households with Internet access","2016","Clare","Other","Number","4701"
"Households with Internet access","2016","Clare","No","Number","9524"
"Households with Internet access","2016","Clare","Not Stated","Number","1182"
"Households with Internet access","2016","Clare","Total","Number","43348"
"Households with Internet access","2016","Cork City","Broadband","Number","34240"
"Households with Internet access","2016","Cork City","Other","Number","2709"
"Households with Internet access","2016","Cork City","No","Number","10278"
"Households with Internet access","2016","Cork City","Not Stated","Number","2143"
"Households with Internet access","2016","Cork City","Total","Number","49370"
"Households with Internet access","2016","Cork County","Broadband","Number","103761"
"Households with Internet access","2016","Cork County","Other","Number","12597"
"Households with Internet access","2016","Cork County","No","Number","26278"
"Households with Internet access","2016","Cork County","Not Stated","Number","3416"
"Households with Internet access","2016","Cork County","Total","Number","146052"
"Households with Internet access","2016","Donegal","Broadband","Number","36127"
"Households with Internet access","2016","Donegal","Other","Number","5873"
"Households with Internet access","2016","Donegal","No","Number","14561"
"Households with Internet access","2016","Donegal","Not Stated","Number","1744"
"Households with Internet access","2016","Donegal","Total","Number","58305"
"Households with Internet access","2016","Dublin City","Broadband","Number","157005"
"Households with Internet access","2016","Dublin City","Other","Number","9025"
"Households with Internet access","2016","Dublin City","No","Number","33796"
"Households with Internet access","2016","Dublin City","Not Stated","Number","11765"
"Households with Internet access","2016","Dublin City","Total","Number","211591"
"Households with Internet access","2016","Dún Laoghaire-Rathdown","Broadband","Number","67575"
"Households with Internet access","2016","Dún Laoghaire-Rathdown","Other","Number","2187"
"Households with Internet access","2016","Dún Laoghaire-Rathdown","No","Number","7041"
"Households with Internet access","2016","Dún Laoghaire-Rathdown","Not Stated","Number","1765"
"Households with Internet access","2016","Dún Laoghaire-Rathdown","Total","Number","78568"
"Households with Internet access","2016","Fingal","Broadband","Number","82095"
"Households with Internet access","2016","Fingal","Other","Number","3448"
"Households with Internet access","2016","Fingal","No","Number","7655"
"Households with Internet access","2016","Fingal","Not Stated","Number","3409"
"Households with Internet access","2016","Fingal","Total","Number","96607"
"Households with Internet access","2016","Galway City","Broadband","Number","22367"
"Households with Internet access","2016","Galway City","Other","Number","1553"
"Households with Internet access","2016","Galway City","No","Number","3621"
"Households with Internet access","2016","Galway City","Not Stated","Number","1286"
"Households with Internet access","2016","Galway City","Total","Number","28827"
"Households with Internet access","2016","Galway County","Broadband","Number","39396"
"Households with Internet access","2016","Galway County","Other","Number","7564"
"Households with Internet access","2016","Galway County","No","Number","14157"
"Households with Internet access","2016","Galway County","Not Stated","Number","1612"
"Households with Internet access","2016","Galway County","Total","Number","62729"
"Households with Internet access","2016","Kerry","Broadband","Number","33363"
"Households with Internet access","2016","Kerry","Other","Number","5742"
"Households with Internet access","2016","Kerry","No","Number","13684"
"Households with Internet access","2016","Kerry","Not Stated","Number","1499"
"Households with Internet access","2016","Kerry","Total","Number","54288"
"Households with Internet access","2016","Kildare","Broadband","Number","57086"
"Households with Internet access","2016","Kildare","Other","Number","4854"
"Households with Internet access","2016","Kildare","No","Number","9700"
"Households with Internet access","2016","Kildare","Not Stated","Number","1708"
"Households with Internet access","2016","Kildare","Total","Number","73348"
"Households with Internet access","2016","Kilkenny","Broadband","Number","22739"
"Households with Internet access","2016","Kilkenny","Other","Number","3800"
"Households with Internet access","2016","Kilkenny","No","Number","7512"
"Households with Internet access","2016","Kilkenny","Not Stated","Number","692"
"Households with Internet access","2016","Kilkenny","Total","Number","34743"
"Households with Internet access","2016","Laois","Broadband","Number","18960"
"Households with Internet access","2016","Laois","Other","Number","3209"
"Households with Internet access","2016","Laois","No","Number","5977"
"Households with Internet access","2016","Laois","Not Stated","Number","851"
"Households with Internet access","2016","Laois","Total","Number","28997"
"Households with Internet access","2016","Leitrim","Broadband","Number","7192"
"Households with Internet access","2016","Leitrim","Other","Number","1482"
"Households with Internet access","2016","Leitrim","No","Number","3402"
"Households with Internet access","2016","Leitrim","Not Stated","Number","328"
"Households with Internet access","2016","Leitrim","Total","Number","12404"
"Households with Internet access","2016","Limerick City and County","Broadband","Number","46590"
"Households with Internet access","2016","Limerick City and County","Other","Number","6263"
"Households with Internet access","2016","Limerick City and County","No","Number","15897"
"Households with Internet access","2016","Limerick City and County","Not Stated","Number","2272"
"Households with Internet access","2016","Limerick City and County","Total","Number","71022"
"Households with Internet access","2016","Longford","Broadband","Number","8887"
"Households with Internet access","2016","Longford","Other","Number","1798"
"Households with Internet access","2016","Longford","No","Number","3952"
"Households with Internet access","2016","Longford","Not Stated","Number","455"
"Households with Internet access","2016","Longford","Total","Number","15092"
"Households with Internet access","2016","Louth","Broadband","Number","32095"
"Households with Internet access","2016","Louth","Other","Number","2972"
"Households with Internet access","2016","Louth","No","Number","8803"
"Households with Internet access","2016","Louth","Not Stated","Number","1493"
"Households with Internet access","2016","Louth","Total","Number","45363"
"Households with Internet access","2016","Mayo","Broadband","Number","29774"
"Households with Internet access","2016","Mayo","Other","Number","5442"
"Households with Internet access","2016","Mayo","No","Number","12407"
"Households with Internet access","2016","Mayo","Not Stated","Number","1122"
"Households with Internet access","2016","Mayo","Total","Number","48745"
"Households with Internet access","2016","Meath","Broadband","Number","46851"
"Households with Internet access","2016","Meath","Other","Number","5495"
"Households with Internet access","2016","Meath","No","Number","10022"
"Households with Internet access","2016","Meath","Not Stated","Number","1493"
"Households with Internet access","2016","Meath","Total","Number","63861"
"Households with Internet access","2016","Monaghan","Broadband","Number","13619"
"Households with Internet access","2016","Monaghan","Other","Number","2096"
"Households with Internet access","2016","Monaghan","No","Number","5346"
"Households with Internet access","2016","Monaghan","Not Stated","Number","551"
"Households with Internet access","2016","Monaghan","Total","Number","21612"
"Households with Internet access","2016","Offaly","Broadband","Number","16412"
"Households with Internet access","2016","Offaly","Other","Number","3319"
"Households with Internet access","2016","Offaly","No","Number","6708"
"Households with Internet access","2016","Offaly","Not Stated","Number","745"
"Households with Internet access","2016","Offaly","Total","Number","27184"
"Households with Internet access","2016","Roscommon","Broadband","Number","14329"
"Households with Internet access","2016","Roscommon","Other","Number","2766"
"Households with Internet access","2016","Roscommon","No","Number","6354"
"Households with Internet access","2016","Roscommon","Not Stated","Number","513"
"Households with Internet access","2016","Roscommon","Total","Number","23962"
"Households with Internet access","2016","Sligo","Broadband","Number","16267"
"Households with Internet access","2016","Sligo","Other","Number","2256"
"Households with Internet access","2016","Sligo","No","Number","5566"
"Households with Internet access","2016","Sligo","Not Stated","Number","672"
"Households with Internet access","2016","Sligo","Total","Number","24761"
"Households with Internet access","2016","South Dublin","Broadband","Number","76950"
"Households with Internet access","2016","South Dublin","Other","Number","2882"
"Households with Internet access","2016","South Dublin","No","Number","9817"
"Households with Internet access","2016","South Dublin","Not Stated","Number","2744"
"Households with Internet access","2016","South Dublin","Total","Number","92393"
"Households with Internet access","2016","Tipperary","Broadband","Number","35813"
"Households with Internet access","2016","Tipperary","Other","Number","6881"
"Households with Internet access","2016","Tipperary","No","Number","14912"
"Households with Internet access","2016","Tipperary","Not Stated","Number","1465"
"Households with Internet access","2016","Tipperary","Total","Number","59071"
"Households with Internet access","2016","Waterford City and County","Broadband","Number","29801"
"Households with Internet access","2016","Waterford City and County","Other","Number","3616"
"Households with Internet access","2016","Waterford City and County","No","Number","8595"
"Households with Internet access","2016","Waterford City and County","Not Stated","Number","1443"
"Households with Internet access","2016","Waterford City and County","Total","Number","43455"
"Households with Internet access","2016","Westmeath","Broadband","Number","20514"
"Households with Internet access","2016","Westmeath","Other","Number","3458"
"Households with Internet access","2016","Westmeath","No","Number","6832"
"Households with Internet access","2016","Westmeath","Not Stated","Number","881"
"Households with Internet access","2016","Westmeath","Total","Number","31685"
"Households with Internet access","2016","Wexford","Broadband","Number","34801"
"Households with Internet access","2016","Wexford","Other","Number","5736"
"Households with Internet access","2016","Wexford","No","Number","12266"
"Households with Internet access","2016","Wexford","Not Stated","Number","1203"
"Households with Internet access","2016","Wexford","Total","Number","54006"
"Households with Internet access","2016","Wicklow","Broadband","Number","36917"
"Households with Internet access","2016","Wicklow","Other","Number","3402"
