Statistic Label,Census Year,Internet,Name of Region,UNIT,Households with Internet access
Households with Internet access,2011,Broadband,Border,Number,106183
Households with Internet access,2011,Broadband,Dublin,Number,339593
Households with Internet access,2011,Broadband,Mid-East,Number,124424
Households with Internet access,2011,Broadband,Mid-West,Number,79717
Households with Internet access,2011,Broadband,Midlands,Number,55102
Households with Internet access,2011,Broadband,South-East,Number,104306
Households with Internet access,2011,Broadband,South-West,Number,148594
Households with Internet access,2011,Broadband,West,Number,94023
Households with Internet access,2011,No,Border,Number,59096
Households with Internet access,2011,No,Dublin,Number,90427
Households with Internet access,2011,No,Mid-East,Number,37015
Households with Internet access,2011,No,Mid-West,Number,41136
Households with Internet access,2011,No,Midlands,Number,30446
Households with Internet access,2011,No,South-East,Number,53557
Households with Internet access,2011,No,South-West,Number,66925
Households with Internet access,2011,No,West,Number,47494
Households with Internet access,2011,Not Stated,Border,Number,4088
Households with Internet access,2011,Not Stated,Dublin,Number,12359
Households with Internet access,2011,Not Stated,Mid-East,Number,3580
Households with Internet access,2011,Not Stated,Mid-West,Number,3288
Households with Internet access,2011,Not Stated,Midlands,Number,2343
Households with Internet access,2011,Not Stated,South-East,Number,3906
Households with Internet access,2011,Not Stated,South-West,Number,5485
Households with Internet access,2011,Not Stated,West,Number,3348
Households with Internet access,2011,Other,Border,Number,15803
Households with Internet access,2011,Other,Dublin,Number,24082
Households with Internet access,2011,Other,Mid-East,Number,14986
Households with Internet access,2011,Other,Mid-West,Number,13425
Households with Internet access,2011,Other,Midlands,Number,11602
Households with Internet access,2011,Other,South-East,Number,18427
Households with Internet access,2011,Other,South-West,Number,19639
Households with Internet access,2011,Other,West,Number,15009
Households with Internet access,2011,Total,Border,Number,185170
Households with Internet access,2011,Total,Dublin,Number,466461
Households with Internet access,2011,Total,Mid-East,Number,180005
Households with Internet access,2011,Total,Mid-West,Number,137566
Households with Internet access,2011,Total,Midlands,Number,99493
Households with Internet access,2011,Total,South-East,Number,180196
Households with Internet access,2011,Total,South-West,Number,240643
Households with Internet access,2011,Total,West,Number,159874
Households with Internet access,2016,Broadband,Border,Number,122361
Households with Internet access,2016,Broadband,Dublin,Number,383625
Households with Internet access,2016,Broadband,Mid-East,Number,140854
Households with Internet access,2016,Broadband,Mid-West,Number,110344
Households with Internet access,2016,Broadband,Midlands,Number,64773
Households with Internet access,2016,Broadband,South-East,Number,100880
Households with Internet access,2016,Broadband,South-West,Number,171364
Households with Internet access,2016,Broadband,West,Number,105866
Households with Internet access,2016,No,Border,Number,43996
Households with Internet access,2016,No,Dublin,Number,58309
Households with Internet access,2016,No,Mid-East,Number,27291
Households with Internet access,2016,No,Mid-West,Number,40333
Households with Internet access,2016,No,Midlands,Number,23469
Households with Internet access,2016,No,South-East,Number,32805
Households with Internet access,2016,No,South-West,Number,50240
Households with Internet access,2016,No,West,Number,36539
Households with Internet access,2016,Not Stated,Border,Number,5517
Households with Internet access,2016,Not Stated,Dublin,Number,19683
Households with Internet access,2016,Not Stated,Mid-East,Number,4318
Households with Internet access,2016,Not Stated,Mid-West,Number,4919
Households with Internet access,2016,Not Stated,Midlands,Number,2932
Households with Internet access,2016,Not Stated,South-East,Number,3980
Households with Internet access,2016,Not Stated,South-West,Number,7058
